isbn,summary,rating
0345377443,"In these and other stories, we focus on the many qualities of Wild
Woman. We retrieve, examine, love, and understand her, and hold her
against our deep psyches as one whois both magic and medicine.",8
0373710690,"The Seven Year Secret by Roz Denny Fox released on Jun 24, 2002 is
available now for purchase.",8
0440223814,"Caught in the middle of an alien conspiracy, a government agency, and
Area 51, Scientist Lisa Duncan and Special Forces officer Mike
Turcotte, along with a special group of soldiers and scholars located
in China and Antarctica, race against ...",5
0671510053,"Surprising transformations take place when a newspaperman&#39;s
elderly aunt and two daughters decide to move back to their family
home on the coast of Newfoundland",10
0553263218,"A teenage boy and girl, high school sophomores from unhappy homes,
tell of their bizarre relationship with an old man.",7
0060976845,"Don&#39;t miss Little Altars Everywhere, the New York Times
bestselling companion novel that introduces the Ya-Yas and is also a
basis for the film.",7
0812544714,"When a former talk show diva is murdered, tabloid reporter Kitty
Fitzgerald pulls out all the stops to interview the victim&#39;s
inmate son, but her investigations threaten her with scandal and the
loss of her new boyfriend",8
0140030255,"&#39;A House for Mr. Biswas can be seen as the struggle of a man not
naturally rebellious, but in whom rebellion is inspired by the forces
of ritual, myth and custom .",1
0380726254,"A man walks into a trendy Los Angeles restaurant -- a disgruntled ex-
employee with an automatic weapon -- and seconds later, thirteen
people are dead and thirty-two more have been wounded.",10
8433970143,"Alan Bennett&#39;s extraordinary ear for dialogue and sharpness of
perception have made him a master storyteller.",6
0201874849,"An Online community design expert reveals the nine most important
principles for developing a larger and loyal website community.",10
0743206045,"Journalist Trish Duncan, the grown sister of a murder victim, attends
the parole hearing of the man who had been convicted of the crime
twenty years earlier and begins to wonder if his claim of innocence
might be true. 1,000,000 first ...",8
0440217563,"Time-travelling Claire Randall returns to her own time, pregnant and
weary, and resumes her life, but her memories of her eighteenth-
century Scottish lover Jamie Fraser will not die, leading her to a
desperate decision to return to him",9
0684853507,"Plagued by vivid nightmares of the summer house he had shared with his
late wife, grieving widower Mike Noonan returns to his former Maine
getaway, only to find a town in the grip of a ruthless millionaire and
tormented by a series of ...",7
2070360024,Analyse : Roman psychologique (intime).,6
0671019937,"John Walsh, the host of America&#39;s Most Wanted, describes many of
his most dramatic cases, including the show&#39;s successes and
failures, and includes an 800 telephone number that readers can call
with tips and information. 75,000 first ...",4
0553580388,"Blackmailed by a master assassin to agree to perform life-saving
surgery on the killer, famous neurosurgeon Jesse Copeland struggles
with the choice between saving a terrorist&#39;s life or the lives of
those he threatens. Reprint.",5
0684835983,"A top suspense writer returns with a tale of treachery and deceit in
which a sinister psychic manipulates a potential congresswoman by
claiming to be in contact with her missing husband. Lit Guild &amp;
Doubleday Main.",5
0679729771,"In a comic-book-style tale of the author&#39;s parents, Vladek and
Anja, Vladek survives Auschwitz, is reunited with Anja, and sires
young Art MAUS was the first half of the tale of survival of the
author&#39;s parents, charting their desperate ...",7
1566472741,"It is the great virtue of Catherine Harris&#39;s memoir that it offers
a very personal &quot;report from the camps&quot; about what it was
like from the other side as a teacher in one of them.",8
0451166892,"Set in twelfth-century England, this epic of kings and peasants
juxtaposes the building of a magnificent church with the violence and
treachery that often characterized the Middle Ages. Reissue.",10
0380789035,Shadow is a man with a past.,8
