isbn,summary,rating
0002005018,in small town canada clara callan reluctantly takes leave sister nora bound new york,9
0399135782,a chinese immigrant convinced dying threatens celebrate chinese new year unburdening everybody39s hidden truths prompting series comic misunderstandings,7
0440234743,a suicidal billionaire burnt-out washington litigator woman forsaken technology work wilds brazil brought astounding mystery testament,8
0452264464,staring unflinchingly abyss slavery transforms history story powerful exodus intimate lullaby,7
1841721522,in new vegetarian celia brooks brown presents innovative approach vegetarian cooking,10
1879384493,provides advice ways succeed business finance careers dating marriage school,10
0061076031,problems arise identical twins emma sam switch places order solve other39s problems girls worry things worse truth plan revealed,5
0439095026,as explained kids book offers collection stories deal moments embarrassment awkwardness providing tips advice handle difficult situations arise,5
0689821166,as waters mississippi river rise moment molly garrett risk lives save collection nickles pennies hope poverty-stricken world original,6
0971880107,wild animus search primordial test human foundations journey breaking point,4
0345402871,a fatal mid-air collision involving commercial airliner prompts frantic desperate investigation accident thriller exploring issue safety security aircraft industry,7
0345417623,using quantum time machine group young historians back year 1357 rescue trapped project leader,7
0553278398,in year 12020 ge hari seldon arrives domed city trantor begins develop theory psychohistory predicts rise power greater empire reissue,8
0375759778,five american expatriates living budapest early 1990s seek establish make fortunes city haunted tragedies communist past,8
0425163091,when sydney corbett idea making candy figures jesus it39s business opportunity bea39s candies blasphemy reverend willie domingo church returning,9
0375406328,sister john cross elderly experiences series dazzling visions confronted difficult choice spiritual gifts curing powerful headaches accompany visions,6
0446310786,the unforgettable childhood sleepy southern town crisis conscience rocked to kill a mockingbird instant bestseller critical success published 1960,8
0449005615,true story great racehorse captivated world,8
0060168013,as spellbinding unfolds draws reader world heartbreak redeeming love testing boundaries family separate truths ties bind,9
067176537X,with accurate descriptions changes place body temperature levels consciousness physiology intense interaction book helps interpret healing experience meaning,8
0061099686,her job writer city39s downtown magazine introduces unforgettable propels center momentous events irrevocably alter heart career world,6
0671888587,a young news reporter assignment large metropolitan hospital horrified sees young jane doe paramedics failed save identical,8
0553582747,koontz heavenward inspiration newest suspense thriller chock-full signs portents angels second-rate devil murky undercharacterized guy named junior cain throws beloved wife,7
0425182908,angered governor39s order speed traps eccentric inhabitants isle tangier coast virginia declare state judy hammer superintendent state police stop,6
042518630X,eve dallas impossible unleashed computer virus spread machine,6
