isbn,summary,rating
0002005018,in small town canada clara callan reluctantly takes leave sister nora bound new york,9
0399135782,a chinese immigrant convinced dying threatens celebrate chinese new year unburdening everybody39s hidden truths prompting series comic misunderstandings,7
0440234743,a suicidal billionaire burnt-out washington litigator woman forsaken technology work wilds brazil brought astounding mystery testament,8
0452264464,staring unflinchingly abyss slavery transforms history story powerful exodus intimate lullaby,7
1841721522,in new vegetarian celia brooks brown presents innovative approach vegetarian cooking,10
1879384493,provides advice ways succeed business finance careers dating marriage school,10
0061076031,problems arise identical twins emma sam switch places order solve other39s problems girls worry things worse truth plan revealed,5
0439095026,as explained kids book offers collection stories deal moments embarrassment awkwardness providing tips advice handle difficult situations arise,5
0689821166,as waters mississippi river rise moment molly garrett risk lives save collection nickles pennies hope poverty-stricken world original,6
0971880107,wild animus search primordial test human foundations journey breaking point,4
0345402871,a fatal mid-air collision involving commercial airliner prompts frantic desperate investigation accident thriller exploring issue safety security aircraft industry,7
0345417623,using quantum time machine group young historians back year 1357 rescue trapped project leader,7
0553278398,in year 12020 ge hari seldon arrives domed city trantor begins develop theory psychohistory predicts rise power greater empire reissue,8
0375759778,five american expatriates living budapest early 1990s seek establish make fortunes city haunted tragedies communist past,8
0425163091,when sydney corbett idea making candy figures jesus it39s business opportunity bea39s candies blasphemy reverend willie domingo church returning,9
0375406328,sister john cross elderly experiences series dazzling visions confronted difficult choice spiritual gifts curing powerful headaches accompany visions,6
0446310786,the unforgettable childhood sleepy southern town crisis conscience rocked to kill a mockingbird instant bestseller critical success published 1960,8
0449005615,true story great racehorse captivated world,8
0060168013,as spellbinding unfolds draws reader world heartbreak redeeming love testing boundaries family separate truths ties bind,9
067176537X,with accurate descriptions changes place body temperature levels consciousness physiology intense interaction book helps interpret healing experience meaning,8
0061099686,her job writer city39s downtown magazine introduces unforgettable propels center momentous events irrevocably alter heart career world,6
0671888587,a young news reporter assignment large metropolitan hospital horrified sees young jane doe paramedics failed save identical,8
0553582747,koontz heavenward inspiration newest suspense thriller chock-full signs portents angels second-rate devil murky undercharacterized guy named junior cain throws beloved wife,7
0425182908,angered governor39s order speed traps eccentric inhabitants isle tangier coast virginia declare state judy hammer superintendent state police stop,6
042518630X,eve dallas impossible unleashed computer virus spread machine,6
0440223571,presents anthology christmas stories reflecting ways holidays serve catalyst promote change growth beginnings,7
0842342702,the book author39s successful quotlast daysquot series 747 pilot recover effects quotthe rapturequot reprint,8
0440225701,after violent encounter homeless talented corporate lawyer michael finds streets lucky alive holding top-secret file belonging former employers,8
0380715899,encountering younger road italy seventy-something professor alessandro guiliani recounts experiences spinning love loss tragedy madmen dwarves mafiosi reprint,8
0964778319,ten short stories set india dealing unpredictable effects contact indians americans,10
0679810307,shabanu young nomad cholistan desert submit marriage father arranges centuries tradition defying,7
0679865691,having relented ways pakistan married rich older pledged shabanu victim family39s blood feud malice wives,4
0312970242,american physician michael aulden stands center epic global confrontation body mind soul humankind choose forces evil fate entire world stake original,7
1853260053,the story simple country girl family39s pretentions lead destruction,10
0060938412,you promising beginning sexy smart personable funny great dates great afterward-if i but sad state affairs case non- affairs,5
0140067477,an expert chinese philosophy explains facets taoism milne39s famous character explores world winnie-the-pooh tao characterizing pooh simple bear subscribes principles successful living,8
0345465083,retraces journey seabiscuit horse crooked legs pathetic tail made racing history 1938 efforts trainer owner jockey transformed bottom-level racehorse legend,7
1558531025,a collection advice live happy rewarding life,6
0441783589,in futuristic military adventure recruit roughest boot camp universe battle terran mobile infantry historians call first interstellar war,8
0375410538,a forensic pathologist returns sri lanka -- 15 years abroad -- assist identifying victims country39s civil,7
0966986105,when rape murder strike young single women sun-drenched san diego coast police stumped,10
0553062042,tyrel orrin sackett travel tennessee santa fe,7
0316769487,quot the hero-narrator the catcher rye ancient child sixteen native new yorker named holden caufield,7
0679429220,in charming beautiful wealthy old-south savannah georgia local boy shot dead inside opulent mansion gay antiques dealer gripping trial,7
0671867156,placed federal witness protection program murder manhattan real-estate agent lacey farrell solve case victim,8
0451166892,set twelfth-century england epic kings peasants juxtaposes building magnificent church violence treachery characterized middle ages reissue,8
067976397X,the idyllic world greek island cephallonia forever changed inexorable changes world war ii inhabitants struggle cope axis invasion occupation,8
0786868716,with timeless appealing book readers fine fiction loved tuesdays morrie treasure,8
0671864769,the starship enterprise rescues captain montgomery scott missing space seventy-five years finds world changed recognition,8
0440222303,when conflicts rivaling cultures aboard babylon 5 escalate riotous proportions security chief garibaldi discovers link station-wide epidemic nightmares strange alien presence original,6
0446608653,in suspenseful southern thriller 1 new york times bestseller ambitious prosecutor investigates high-stakes case charleston39s powerful real estate magnate murdered,7
0451208080,arriving london find young woman company unsavory gentleman client stone barrington stumbles deadly rivalry spies implicated horrifying double murder,6
0553584383,during gut-wrenching assignment photographing disaster photojournalist alex graham begins suspect quotnaturalquot catastrophe case premeditated mass murder former military assassin assigned,6
0316735736,written intelligence grace hallmarks anita shreve39s bestselling novels gripping desire jealousy loss peopled unforgettable characters real emotions bring,7
0380619458,an eccentric american inventor moves family jungles central america hopes finding life,8
